Date,CCPI Headline Inflation (Y-o-Y),CCPI Core Inflation (Y-o-Y),NCPI Headline Inflation (Y-o-Y),NCPI Core Inflation (Y-o-Y)
2026 January,2.3,2.3,2.4,2.2
2026 February,1.6,2.1,1.6,2.2
2026 March,2.2,2.5,,
2025 January,-4,1.2,-4,-0.2
2025 February,-4.2,0.7,-3.9,-0.6
2025 March,-2.6,0.7,-1.9,-0.6
2025 April,-2,0.8,-0.8,-0.1
2025 May,-0.7,1.2,0.6,0.3
2025 June,-0.6,1.5,0.3,0.6
2025 July,-0.3,1.6,0.7,0.9
2025 August,1.2,2,1.5,1.5
2025 September,1.5,2,2.1,1.9
2025 October,2.1,2.2,2.7,2.1
2025 November,2.1,2.4,2.4,2.2
2025 December,2.1,2.7,2.9,2.6
2024 January,6.4,2.2,6.5,2.2
2024 February,5.9,2.8,5.1,2.7
2024 March,0.9,3.1,2.5,3.4
2024 April,1.5,3.4,2.7,3
2024 May,0.9,3.5,1.6,3.1
2024 June,1.7,4.4,2.4,3.9
2024 July,2.4,4.4,2.5,3
2024 August,0.5,3.6,1.1,2.3
2024 September,-0.5,3.3,-0.2,1.9
2024 October,-0.8,3,-0.7,1.7
2024 November,-2.1,2.7,-1.7,1.5
2024 December,-1.7,2.7,-2,1.3
2022 January,14.2,9.9,16.8,12.9
2022 February,15.1,10.9,17.5,14.1
2022 March,18.7,13,21.5,17.3
2022 April,29.8,22,33.8,27.9
2022 May,39.1,28.4,45.3,37.7
2022 June,54.6,39.9,58.9,49.3
2022 July,60.8,44.3,66.7,57.3
2022 August,64.3,46.6,70.2,60.5
2022 September,69.8,50.2,73.7,64.1
2022 October,66,49.7,70.6,62.4
2022 November,61,49.4,65,60.1
2022 December,57.2,47.7,59.2,57.5
2021 January,3,2.7,3.7,4.2
2021 February,3.3,2.6,4.2,4.1
2021 March,4.1,3.1,5.1,4.3
2021 April,3.9,3,5.5,4.1
2021 May,4.5,3.2,6.1,4.2
2021 June,5.2,3.2,6.1,4.1
2021 July,5.7,3.7,6.8,4.4
2021 August,6,4.1,6.7,4.7
2021 September,5.7,5,6.2,4.8
2021 October,7.6,6.3,8.3,7.2
2021 November,9.9,7,11.1,8.8
2021 December,12.1,8.3,14,10.8
2020 January,5.7,3,7.6,3.9
2020 February,6.2,3.2,8.1,3.4
2020 March,5.4,2.9,7,3.2
2020 April,5.2,3.1,5.9,3.2
2020 May,4,2.9,5.2,3.7
2020 June,3.9,3.1,6.3,4.4
2020 July,4.2,3.2,6.1,4.5
2020 August,4.1,3.2,6.2,4.6
2020 September,4,2.9,6.4,4.8
2020 October,4,3,5.5,4.5
2020 November,4.1,3,5.2,4.5
2020 December,4.2,3.5,4.6,4.7
2019 January,3.7,5.5,6.2,5.2
2019 February,4,5.4,3.5,5.7
2019 March,4.3,5.6,-2,5.6
2019 April,4.5,5.5,3.6,6.3
2019 May,5,6.2,2.1,6.2
2019 June,3.8,5.8,2.2,6.1
2019 July,3.3,5.7,5.6,6.1
2019 August,3.4,5.6,2.5,6
2019 September,5,5.6,3.9,5.8
2019 October,4.8,5.5,5.6,5.7
2019 November,4.4,5.4,4.1,5.5
2019 December,4.8,5.3,6.2,5.2
